event_id,category,tags_count,posted_days_before_event,promotion_spend,max_participants,ticket_price,organizer_reputation,avg_past_attendance_rate,ctr,social_mentions,weekday,city,checked_in_count,revenue,attendance_rate,success
1,SPORTS,3,1,347,200,645.49,0.765,0.963,0.4365,7,6,large,190,122643.1,0.95,1
2,EDUCATION,3,17,0,100,127.28,0.742,0.681,0.5005,9,6,large,95,12091.6,0.95,1
3,ART,8,6,674,100,116.84,0.84,0.781,0.296,11,3,small,95,11099.8,0.95,1
4,SPORTS,3,6,159,200,0.0,0.583,0.593,0.0646,6,0,small,175,0.0,0.877358985749398,1
5,EDUCATION,1,35,48,100,204.85,0.297,0.267,0.0927,5,0,medium,57,11676.45,0.5655953949227314,1
6,TECH,4,11,0,50,0.0,0.459,0.448,0.2382,8,5,small,48,0.0,0.95,1
7,HEALTH,4,10,0,100,573.01,0.93,0.482,0.3181,18,5,small,95,54435.95,0.95,1
8,HEALTH,2,3,211,100,64.04,0.264,0.579,0.0598,12,3,medium,80,5123.2,0.7985170435748001,1
9,EDUCATION,1,9,0,100,0.0,0.741,0.408,0.0326,8,4,small,95,0.0,0.95,1
10,OTHER,2,2,361,200,541.99,0.313,0.716,0.107,6,6,large,190,102978.1,0.95,1
11,HEALTH,1,1,279,100,124.03,0.35,0.445,0.2081,4,1,small,58,7193.74,0.5769192112122515,1
12,HEALTH,1,8,125,1000,210.65,0.523,0.821,0.1403,7,0,small,820,172733.0,0.819971175607642,1
13,SPORTS,4,5,594,200,256.77,0.386,0.464,0.495,7,6,large,190,48786.3,0.95,1
14,TECH,3,18,0,100,602.04,0.211,0.432,0.2799,9,3,medium,79,47561.16,0.7888903920625435,1
15,EDUCATION,4,9,611,50,0.0,0.048,0.113,0.0406,6,2,large,43,0.0,0.8504277756193384,1
16,ART,1,2,369,200,116.66,0.811,0.555,0.417,9,6,medium,190,22165.4,0.95,1
17,HEALTH,2,1,620,100,102.73,0.045,0.763,0.2575,3,2,medium,80,8218.4,0.7989308563106481,1
18,SPORTS,3,3,0,50,551.76,0.468,0.728,0.1687,3,3,small,39,21518.64,0.785390336003474,1
19,HEALTH,4,19,515,50,107.57,0.546,0.736,0.247,8,6,large,48,5163.36,0.95,1
20,TECH,4,10,826,100,0.0,0.463,0.735,0.2872,9,5,medium,95,0.0,0.95,1
21,SPORTS,2,13,473,50,219.24,0.069,0.258,0.3315,3,4,small,38,8331.12,0.7578231537337725,1
22,SPORTS,2,22,281,500,530.24,0.5,0.668,0.334,9,3,small,426,225882.24,0.8510072636267697,1
23,HEALTH,6,3,231,200,516.59,0.8,0.264,0.0979,11,3,medium,190,98152.1,0.95,1
24,ART,4,12,0,200,0.0,0.42,0.467,0.1138,6,0,large,157,0.0,0.7860310100817496,1
25,SPORTS,4,16,155,50,527.67,0.439,0.325,0.0193,7,6,medium,46,24272.82,0.9282588504048828,1
26,ART,3,2,577,50,106.93,0.784,0.683,0.2121,4,6,small,48,5132.64,0.95,1
27,HEALTH,2,33,67,100,55.45,0.753,0.765,0.2959,10,4,small,95,5267.75,0.95,1
28,HEALTH,5,7,883,50,539.55,0.687,0.496,0.5148,8,5,medium,48,25898.4,0.95,1
29,EDUCATION,3,11,349,500,117.91,0.515,0.307,0.1947,5,1,small,428,50465.48,0.8569565084813693,1
30,TECH,5,17,91,100,155.56,0.47,0.506,0.1393,5,1,medium,95,14778.2,0.95,1
31,ART,2,5,756,100,57.8,0.58,0.602,0.2156,6,4,medium,93,5375.4,0.9283661249498553,1
32,OTHER,5,1,0,1000,617.95,0.289,0.458,0.224,3,2,small,543,335546.85,0.5427500794697218,1
33,OTHER,5,17,427,50,106.73,0.838,0.533,0.2533,7,4,large,48,5123.04,0.95,1
34,ART,5,28,262,500,0.0,0.683,0.458,0.1274,7,1,small,475,0.0,0.95,1
35,ART,1,8,1007,500,237.96,0.458,0.468,0.1623,5,5,small,475,113031.0,0.95,1
36,ART,4,2,90,200,544.76,0.481,0.292,0.1029,5,6,medium,169,92064.44,0.8441048469957498,1
37,ART,3,9,0,50,0.0,0.863,0.169,0.5798,10,5,large,48,0.0,0.95,1
38,EDUCATION,2,32,557,50,511.79,0.338,0.362,0.3589,7,6,large,48,24565.92,0.95,1
39,OTHER,4,1,941,50,571.89,0.094,0.358,0.584,3,6,large,46,26306.94,0.926888696085038,1
40,EDUCATION,4,30,211,100,201.76,0.927,0.709,0.1339,11,5,medium,95,19167.2,0.95,1
41,OTHER,4,15,660,100,215.49,0.118,0.47,0.3934,4,3,small,85,18316.65,0.8479271006806476,1
42,HEALTH,6,64,0,50,640.49,0.642,0.639,0.5672,9,1,medium,48,30743.52,0.95,1
43,EDUCATION,2,40,240,200,0.0,0.362,0.148,0.1764,11,0,medium,126,0.0,0.6303053887253258,1
44,HEALTH,4,13,0,50,61.39,0.841,0.338,0.316,7,3,small,48,2946.72,0.95,1
45,HEALTH,3,14,0,100,0.0,0.6,0.73,0.2762,4,6,small,95,0.0,0.95,1
46,EDUCATION,4,5,492,200,0.0,0.264,0.393,0.2102,5,4,small,190,0.0,0.95,1
47,EDUCATION,4,1,449,100,205.14,0.824,0.367,0.1215,13,6,medium,93,19078.02,0.9308752196778564,1
48,TECH,3,5,242,100,310.14,0.42,0.717,0.1715,2,4,small,95,29463.3,0.95,1
49,EDUCATION,2,26,317,500,123.59,0.89,0.413,0.4261,13,2,small,475,58705.25,0.95,1
50,EDUCATION,5,5,0,500,547.63,0.464,0.92,0.2248,3,2,small,383,209742.29,0.7665890888384017,1
51,OTHER,3,3,823,200,0.0,0.643,0.741,0.2892,10,5,medium,190,0.0,0.95,1
52,ART,4,5,395,50,643.94,0.656,0.386,0.1227,11,3,medium,42,27045.48,0.8412117997282693,1
53,HEALTH,3,33,603,50,230.73,0.548,0.841,0.1733,4,3,large,48,11075.04,0.95,1
54,TECH,3,1,714,200,68.61,0.746,0.358,0.2167,8,4,small,188,12898.68,0.9388962533367765,1
55,ART,3,15,380,50,109.6,0.694,0.33,0.3237,8,1,medium,47,5151.2,0.9301572859077528,1
56,EDUCATION,3,7,46,100,105.64,0.554,0.926,0.1368,5,5,small,95,10035.8,0.95,1
57,OTHER,2,9,52,100,233.64,0.363,0.794,0.1875,5,3,small,86,20093.04,0.8569628545559691,1
58,TECH,7,7,119,100,633.21,0.654,0.82,0.3767,7,3,medium,95,60154.95,0.95,1
59,SPORTS,2,4,0,100,108.27,0.752,0.625,0.0218,10,4,medium,95,10285.65,0.95,1
